comment_id,user_id,activity_id,order_id,content,score,comment_time,like_count,reply_content,reply_time
1,1,1,ORDER20250620100520123,周杰伦演唱会现场音效超棒，内场视野无敌，全程跟唱太嗨了！,5,2025/8/18 10:00,128,感谢您的支持，星耀音乐将持续为您带来优质演出～,2025/8/18 15:00
2,2,2,ORDER20250510141015456,《如梦之梦》的舞台设计太惊艳了，胡歌的演技全程在线，8 小时的演出完全不枯燥！,5,2025/7/28 9:30,95,感谢您的认可，艺境话剧会继续打磨经典剧目～,2025/7/28 14:00
3,3,3,ORDER20250601091020789,国安主场氛围拉满，就是裁判判罚有点争议，整体观赛体验不错！,4,2025/6/29 11:20,67,感谢您的反馈，我们会持续优化赛事服务～,2025/6/29 16:00
4,4,4,ORDER20250610120510101,笑果脱口秀的段子很接地气，李诞的现场比综艺里更搞笑，就是场地有点小有点挤。,4,2025/7/7 10:15,42,感谢您的建议，我们会优先选择宽敞场馆～,2025/7/7 13:30
5,10,4,ORDER20250601121030112,第一次看脱口秀现场，全程笑到肚子疼，就是后排音效有点差，听不太清。,3,2025/7/7 11:00,23,抱歉给您带来不佳体验，我们会调整音响设备～,2025/7/7 14:00
6,7,5,ORDER20250415090525134,梵高沉浸式展览太震撼了，3D 投影还原得很逼真，就是人有点多，体验感打了点折扣。,4,2025/5/2 8:40,58,感谢您的反馈，我们会限流保障观展体验～,2025/5/2 12:00
7,6,7,ORDER20250420091015156,《冰雪奇缘》儿童剧太适合带娃看了，女儿全程超兴奋，舞台特效也很精美！,5,2025/6/4 9:10,76,感谢您的喜爱，童梦亲子会持续引进优质儿童剧～,2025/6/4 13:00
8,6,7,ORDER20250420092005378,儿童剧的互动环节设计得很好，就是演员台词有点小声，孩子听不太清楚。,3,2025/6/4 10:00,18,抱歉给您带来不便，我们会调整麦克风音量～,2025/6/4 14:00
9,7,8,ORDER20250605090520178,黄山旅游套票很划算，包含索道和讲解，导游小姐姐讲解得很专业，值得推荐！,5,2025/7/2 11:30,89,感谢您的支持，山水旅游会继续优化景区服务～,2025/7/2 15:00
10,9,9,ORDER20250401101015190,商业领袖峰会的嘉宾阵容很强大，分享的内容很有价值，就是会场餐饮有点一般。,4,2025/5/22 9:20,35,感谢您的反馈，我们会升级餐饮服务～,2025/5/22 12:00
11,4,10,ORDER20250601120520212,漫威电影 IMAX 厅的观影效果绝了，画面超清晰，音效也很震撼，值回票价！,5,2025/6/17 10:00,47,感谢您的认可，万达影城会持续提升观影体验～,2025/6/17 14:00
12,10,10,ORDER20250601121030234,普通厅的电影画质还可以，就是座椅有点旧，坐着不太舒服。,3,2025/6/17 11:00,12,抱歉给您带来不佳体验，我们会更换座椅～,2025/6/17 15:00
13,1,12,ORDER20250505100520256,李健演唱会突然取消，太让人失望了，退票流程也很繁琐，体验感极差！,1,2025/6/11 9:00,78,非常抱歉给您带来不便，因艺人行程问题取消，退票款项已加急处理～,2025/6/11 12:00
14,3,12,ORDER20250505101030278,期待了很久的李健演唱会被取消，平台就发了个通知，没有任何补偿，很不满意！,2,2025/6/11 10:00,62,抱歉让您失望，我们会为您发放 30 元无门槛券作为补偿～,2025/6/11 13:00
15,3,11,NULL,乒乓球世界杯还没开始，先占个坑，期待国乒夺冠！,5,2025/8/2 9:00,29,NULL,NULL
16,8,6,ORDER20250715100520334,草莓音乐节的票买了又取消订单，平台退款速度还挺快，就是没抢到票有点遗憾。,4,2025/7/16 10:00,15,感谢您的理解，草莓音乐节杭州站会加开场次～,2025/7/16 14:00
17,2,1,ORDER20250620101020290,周杰伦演唱会的票没付款超时了，平台自动取消订单，有点可惜没抢到。,3,2025/6/20 11:00,8,没关系，后续还有其他演出，欢迎继续关注～,2025/6/20 13:00
18,9,3,ORDER20250601091540312,中超联赛主席台的视野超棒，还有专属茶歇，企业招待客户很有面子。,5,2025/6/29 12:00,41,感谢您的认可，巅峰体育会为企业客户提供更优质的服务～,2025/6/29 17:00
19,2,8,ORDER20250605091020390,黄山旅游套票临时改期，平台退款很及时，客服态度也很好，点赞！,5,2025/6/6 9:00,27,感谢您的理解，山水旅游祝您旅途愉快～,2025/6/6 12:00
20,5,2,ORDER20250510142005412,账户被禁用导致订单取消，客服也没给出明确原因，体验感太差了！,1,2025/5/11 9:00,33,抱歉给您带来不便，您的账户因违规操作被封禁，可联系客服核实～,2025/5/11 12:00
21,1,7,NULL,看了朋友的儿童剧反馈，感觉很不错，下次带侄女去看！,4,2025/6/5 10:00,19,欢迎您前来观看，童梦亲子期待您的光临～,2025/6/5 13:00
22,7,6,NULL,草莓音乐节的阵容太顶了，必须冲！希望能抢到票～,5,2025/7/15 11:00,56,祝您抢票成功，草莓音乐节期待您的到来～,2025/7/15 14:00
23,8,1,NULL,周杰伦演唱会没抢到内场票，有点小遗憾，希望下次能抢到！,3,2025/6/21 9:00,24,后续会有加场，欢迎您继续关注～,2025/6/21 12:00
24,4,5,NULL,梵高展览看起来很有意思，周末打算去看看～,4,2025/5/3 10:00,17,祝您观展愉快，艺览天下期待您的评价～,2025/5/3 13:00
25,6,10,NULL,漫威电影展映周太适合漫威粉了，打算二刷！,5,2025/6/18 9:00,32,感谢您的喜爱，万达影城会持续推出主题展映～,2025/6/18 12:00
26,9,11,NULL,乒乓球世界杯决赛必须到现场支持国乒，已经调好闹钟抢票！,5,2025/8/2 10:00,45,祝您抢票成功，巅峰体育与您一起为国乒加油～,2025/8/2 13:00
27,10,5,NULL,梵高展览的票价有点小贵，学生党表示有点压力。,2,2025/5/4 9:00,21,抱歉给您带来压力，我们会推出学生优惠票～,2025/5/4 12:00
28,3,9,NULL,商业领袖峰会的内容很干货，就是门票价格有点高。,3,2025/5/23 9:00,14,感谢您的反馈，我们会推出早鸟票优惠～,2025/5/23 12:00
29,2,11,NULL,深圳湾体育中心的乒乓球场馆设施很新，期待世界杯的举办！,4,2025/8/3 10:00,38,感谢您的认可，巅峰体育会做好赛事筹备～,2025/8/3 13:00
30,7,9,NULL,没抢到商业峰会的票，希望平台能多放些票出来。,2,2025/4/2 9:00,26,抱歉票量有限，后续会推出线上直播通道～,2025/4/2 12:00
